code,title,major_code,major_title
51950,Driving instructor/tester,5,SERVICES AND SALES WORKERS
51991,Social escort,5,SERVICES AND SALES WORKERS
51999,Other personal services worker n.e.c.,5,SERVICES AND SALES WORKERS
52110,Hawker/Stall holder (excluding prepared food and drinks),5,SERVICES AND SALES WORKERS
52120,Hawker/Stall holder (prepared food/drinks),5,SERVICES AND SALES WORKERS
52130,Newsvendor,5,SERVICES AND SALES WORKERS
52190,Stall sales worker n.e.c.,5,SERVICES AND SALES WORKERS
52201,Sales supervisor,5,SERVICES AND SALES WORKERS
52202,Shop sales assistant,5,SERVICES AND SALES WORKERS
52301,Cage/Count supervisor,5,SERVICES AND SALES WORKERS
52302,Cashier (general),5,SERVICES AND SALES WORKERS
52303,Office cashier,5,SERVICES AND SALES WORKERS
52309,Cashier/Ticket clerk n.e.c.,5,SERVICES AND SALES WORKERS
52410,Fashion and related model,5,SERVICES AND SALES WORKERS
52421,Sales demonstrator,5,SERVICES AND SALES WORKERS
52422,Salesperson (door-to-door),5,SERVICES AND SALES WORKERS
52440,Telemarketer,5,SERVICES AND SALES WORKERS
52491,Petrol station attendant,5,SERVICES AND SALES WORKERS
52492,Food service counter attendant,5,SERVICES AND SALES WORKERS
52499,Other sales worker n.e.c.,5,SERVICES AND SALES WORKERS
53111,Babysitter/Infant care-giver,5,SERVICES AND SALES WORKERS
53112,Confinement nanny,5,SERVICES AND SALES WORKERS
53113,Child/After school care centre worker,5,SERVICES AND SALES WORKERS
53114,Child/Youth residential care assistant,5,SERVICES AND SALES WORKERS
53120,Teacher aide,5,SERVICES AND SALES WORKERS
53201,Healthcare assistant,5,SERVICES AND SALES WORKERS
53202,Nursing aide/assistant,5,SERVICES AND SALES WORKERS
53203,Dental aide/assistant,5,SERVICES AND SALES WORKERS
53209,Healthcare assistant and related personal care worker n.e.c.,5,SERVICES AND SALES WORKERS
54110,Fire-fighting/Rescue officer,5,SERVICES AND SALES WORKERS
54121,Police officer,5,SERVICES AND SALES WORKERS
54122,Narcotics officer,5,SERVICES AND SALES WORKERS
54123,Auxiliary police officer,5,SERVICES AND SALES WORKERS
54130,Prison officer,5,SERVICES AND SALES WORKERS
54141,Senior security supervisor,5,SERVICES AND SALES WORKERS
54142,Security supervisor,5,SERVICES AND SALES WORKERS
54143,Senior private security officer,5,SERVICES AND SALES WORKERS
54144,Private security officer,5,SERVICES AND SALES WORKERS
54150,Lifeguard,5,SERVICES AND SALES WORKERS
54191,Private investigator,5,SERVICES AND SALES WORKERS
54192,Industrial investigator,5,SERVICES AND SALES WORKERS
54193,Insurance investigator,5,SERVICES AND SALES WORKERS
54194,Park ranger,5,SERVICES AND SALES WORKERS
54199,Other protective services and related worker n.e.c.,5,SERVICES AND SALES WORKERS
59000,Services worker n.e.c.,5,SERVICES AND SALES WORKERS
61110,Vegetable farm worker,6,AGRICULTURAL AND FISHERY WORKERS
61131,Landscape/Plant nursery supervisor,6,AGRICULTURAL AND FISHERY WORKERS
61132,Plant nursery worker,6,AGRICULTURAL AND FISHERY WORKERS
61133,Gardener/Horticultural worker,6,AGRICULTURAL AND FISHERY WORKERS
61210,Livestock/Dairy farm worker,6,AGRICULTURAL AND FISHERY WORKERS
61220,Poultry farm worker,6,AGRICULTURAL AND FISHERY WORKERS
61900,Agricultural worker n.e.c.,6,AGRICULTURAL AND FISHERY WORKERS
62211,Fish/Prawn farm worker,6,AGRICULTURAL AND FISHERY WORKERS
62212,Aquarium fish farm worker,6,AGRICULTURAL AND FISHERY WORKERS
62219,Aquaculture worker n.e.c.,6,AGRICULTURAL AND FISHERY WORKERS
62220,Coastal waters/Deep sea fishery worker,6,AGRICULTURAL AND FISHERY WORKERS
71000,Supervisor/General foreman (building and related trades),7,CRAFTSMEN AND RELATED TRADES WORKERS
71120,Bricklayer/Blocklayer,7,CRAFTSMEN AND RELATED TRADES WORKERS
71130,Stonemason/Stone cutter/splitter/carver,7,CRAFTSMEN AND RELATED TRADES WORKERS
71141,Concrete form worker,7,CRAFTSMEN AND RELATED TRADES WORKERS
71142,Cement finisher/Screeder,7,CRAFTSMEN AND RELATED TRADES WORKERS
71149,Concrete placer/finisher and related worker n.e.c.,7,CRAFTSMEN AND RELATED TRADES WORKERS
71151,Carpenter,7,CRAFTSMEN AND RELATED TRADES WORKERS
71152,Joiner,7,CRAFTSMEN AND RELATED TRADES WORKERS
71191,Scaffolder,7,CRAFTSMEN AND RELATED TRADES WORKERS
71192,Cladding/Curtain wall erector,7,CRAFTSMEN AND RELATED TRADES WORKERS
71199,Other building frame and related trades worker n.e.c.,7,CRAFTSMEN AND RELATED TRADES WORKERS
71210,Roofer,7,CRAFTSMEN AND RELATED TRADES WORKERS
71220,Floor/Wall tiler,7,CRAFTSMEN AND RELATED TRADES WORKERS
71230,Plasterer,7,CRAFTSMEN AND RELATED TRADES WORKERS
71241,Refrigeration/Air-conditioning equipment insulator,7,CRAFTSMEN AND RELATED TRADES WORKERS
71242,Boiler/Pipe insulator,7,CRAFTSMEN AND RELATED TRADES WORKERS
71249,Insulation worker n.e.c.,7,CRAFTSMEN AND RELATED TRADES WORKERS
71250,Glazier,7,CRAFTSMEN AND RELATED TRADES WORKERS
71261,Plumber,7,CRAFTSMEN AND RELATED TRADES WORKERS
71262,Pipe fitter,7,CRAFTSMEN AND RELATED TRADES WORKERS
71263,Pipe/Drain layer,7,CRAFTSMEN AND RELATED TRADES WORKERS
71271,Air-conditioning/Refrigeration equipment mechanic,7,CRAFTSMEN AND RELATED TRADES WORKERS
71272,Air-conditioning/Refrigeration plant installer,7,CRAFTSMEN AND RELATED TRADES WORKERS
71290,Building finisher and related trades worker n.e.c.,7,CRAFTSMEN AND RELATED TRADES WORKERS
71311,Building painter,7,CRAFTSMEN AND RELATED TRADES WORKERS
71312,Wall/Ceiling paperhanger,7,CRAFTSMEN AND RELATED TRADES WORKERS
71321,Structural steel/Ship painter,7,CRAFTSMEN AND RELATED TRADES WORKERS
71322,Motor vehicle spray painter,7,CRAFTSMEN AND RELATED TRADES WORKERS
71323,Spray painter (excluding ships and motor vehicles),7,CRAFTSMEN AND RELATED TRADES WORKERS
71329,Spray painter/Varnisher and related painter n.e.c.,7,CRAFTSMEN AND RELATED TRADES WORKERS
71331,Building maintenance worker,7,CRAFTSMEN AND RELATED TRADES WORKERS
71332,Building structure cleaner and related worker,7,CRAFTSMEN AND RELATED TRADES WORKERS
72000,Supervisor/General foreman (metal/machinery and related trades),7,CRAFTSMEN AND RELATED TRADES WORKERS
72110,Metal moulder/coremaker,7,CRAFTSMEN AND RELATED TRADES WORKERS
72120,Welder/Flame cutter,7,CRAFTSMEN AND RELATED TRADES WORKERS
72130,Sheet metal worker,7,CRAFTSMEN AND RELATED TRADES WORKERS
72140,Structural metal preparer/erector,7,CRAFTSMEN AND RELATED TRADES WORKERS
72150,Rigger/Cable splicer,7,CRAFTSMEN AND RELATED TRADES WORKERS
72210,Blacksmith/Hammersmith/Forging-press worker,7,CRAFTSMEN AND RELATED TRADES WORKERS
72221,Tool/Die maker,7,CRAFTSMEN AND RELATED TRADES WORKERS
72222,Locksmith,7,CRAFTSMEN AND RELATED TRADES WORKERS
72229,Toolmaker and related worker n.e.c.,7,CRAFTSMEN AND RELATED TRADES WORKERS
72240,Metal polisher/Wheel grinder/Tool sharpener,7,CRAFTSMEN AND RELATED TRADES WORKERS
72310,Automotive mechanic,7,CRAFTSMEN AND RELATED TRADES WORKERS
72320,Aircraft engine mechanic/repairer,7,CRAFTSMEN AND RELATED TRADES WORKERS
72330,Rolling stock mechanic,7,CRAFTSMEN AND RELATED TRADES WORKERS
72340,Bicycle and related repairer,7,CRAFTSMEN AND RELATED TRADES WORKERS
72350,Marine engine mechanic/repairer,7,CRAFTSMEN AND RELATED TRADES WORKERS
72390,Machinery mechanic/fitter/repairer n.e.c.,7,CRAFTSMEN AND RELATED TRADES WORKERS
73000,Supervisor/General foreman (precision/handicraft/printing and related trades),7,CRAFTSMEN AND RELATED TRADES WORKERS
73111,Watch/Clock assembler/repairer,7,CRAFTSMEN AND RELATED TRADES WORKERS
73112,Optical instrument maker/repairer,7,CRAFTSMEN AND RELATED TRADES WORKERS
73113,Medical device assembler/repairer,7,CRAFTSMEN AND RELATED TRADES WORKERS
73119,Precision instrument maker/repairer n.e.c.,7,CRAFTSMEN AND RELATED TRADES WORKERS
73120,Musical instrument maker/repairer/tuner,7,CRAFTSMEN AND RELATED TRADES WORKERS
73130,Jewellery/Precious metal worker,7,CRAFTSMEN AND RELATED TRADES WORKERS
73140,Potter and related worker,7,CRAFTSMEN AND RELATED TRADES WORKERS
73150,Glass maker/cutter/grinder/finisher,7,CRAFTSMEN AND RELATED TRADES WORKERS
73160,Sign writer/Decorative painter/Engraver/Etcher,7,CRAFTSMEN AND RELATED TRADES WORKERS
73210,Pre-press trades worker,7,CRAFTSMEN AND RELATED TRADES WORKERS
73220,Printer,7,CRAFTSMEN AND RELATED TRADES WORKERS
74001,Lift supervisor,7,CRAFTSMEN AND RELATED TRADES WORKERS
74002,"Supervisor/General foreman (electrical/electronic trades, excluding lift)",7,CRAFTSMEN AND RELATED TRADES WORKERS
74110,Electrician,7,CRAFTSMEN AND RELATED TRADES WORKERS
74121,Electrical fitter,7,CRAFTSMEN AND RELATED TRADES WORKERS
74122,Electrical lift/escalator and related equipment fitter,7,CRAFTSMEN AND RELATED TRADES WORKERS
74123,Electrical household appliance repairer,7,CRAFTSMEN AND RELATED TRADES WORKERS
74131,Electrical line installer (overhead),7,CRAFTSMEN AND RELATED TRADES WORKERS
74132,Electric cable jointer,7,CRAFTSMEN AND RELATED TRADES WORKERS
74133,Underground electrical line installer/repairer,7,CRAFTSMEN AND RELATED TRADES WORKERS
74210,Electronics fitter (excluding broadcasting and communication equipment),7,CRAFTSMEN AND RELATED TRADES WORKERS
74221,Consumer audio/video equipment/radar broadcasting/transmitting equipment fitter/mechanic,7,CRAFTSMEN AND RELATED TRADES WORKERS
74222,Computer and related electronic equipment mechanic,7,CRAFTSMEN AND RELATED TRADES WORKERS
74223,Telecommunications lineman,7,CRAFTSMEN AND RELATED TRADES WORKERS
74224,Telecommunications installer/servicer,7,CRAFTSMEN AND RELATED TRADES WORKERS
75000,Supervisor/General foreman (food processing/woodworking/garment/leather and related trades),7,CRAFTSMEN AND RELATED TRADES WORKERS
75110,Butcher/Fishmonger and related food preparer,7,CRAFTSMEN AND RELATED TRADES WORKERS
75121,Baker,7,CRAFTSMEN AND RELATED TRADES WORKERS
75122,Pastry/Confectionery maker,7,CRAFTSMEN AND RELATED TRADES WORKERS
75150,Food and beverage taster/grader,7,CRAFTSMEN AND RELATED TRADES WORKERS
75190,Food processing and related trades worker n.e.c.,7,CRAFTSMEN AND RELATED TRADES WORKERS
75210,Wood treater,7,CRAFTSMEN AND RELATED TRADES WORKERS
75220,Cabinet maker/Wood related trades worker,7,CRAFTSMEN AND RELATED TRADES WORKERS
75290,Furniture maker and related trades worker n.e.c.,7,CRAFTSMEN AND RELATED TRADES WORKERS
75310,Tailor/Dressmaker,7,CRAFTSMEN AND RELATED TRADES WORKERS
75320,Garment and related pattern-maker/cutter,7,CRAFTSMEN AND RELATED TRADES WORKERS
75340,Upholsterer and related worker,7,CRAFTSMEN AND RELATED TRADES WORKERS
75361,Shoemaker/Cobbler,7,CRAFTSMEN AND RELATED TRADES WORKERS
75362,Leather goods maker/assembler,7,CRAFTSMEN AND RELATED TRADES WORKERS
75369,Shoemaker and related worker n.e.c.,7,CRAFTSMEN AND RELATED TRADES WORKERS
75390,Garment/Leather and related trades worker n.e.c.,7,CRAFTSMEN AND RELATED TRADES WORKERS
75410,Underwater diver,7,CRAFTSMEN AND RELATED TRADES WORKERS
75440,Fumigator and related pest/weed controller,7,CRAFTSMEN AND RELATED TRADES WORKERS
75490,Craft and related worker n.e.c.,7,CRAFTSMEN AND RELATED TRADES WORKERS
81000,Stationary plant/machine supervisor/general foreman,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81130,Well driller/borer and related mining worker,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81140,Cement and related mineral products machine operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81210,Metal melter/caster/rolling mill operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81220,Metal heat treating plant operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81230,Metal drawer/extruder,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81240,Metal finishing/plating/coating machine operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81251,Metalworking machine setter-operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81252,Precision grinding machine setter-operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81259,Machine-tool setter-operator n.e.c.,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81311,Chemical processing/products plant/machine operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81312,Pharmaceutical products machine operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81320,Photographic products machine operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81390,Chemical processing/chemical/photographic products plant/machine operator n.e.c.,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81410,Rubber products machine operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81420,Plastic products machine operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81430,Paper/Paperboard products machine operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81501,Sewing machine operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81502,"Laundry/Dry cleaning worker (machine, non-household)",8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81509,Textile/Fur/Leather products machine operator n.e.c.,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81601,Meat/Fish products machine operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81602,Dairy/Confectionery products machine operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81603,Baked/Cereal products machine operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81604,Brewer/Wine and related beverages machine operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81609,Food and related products machine operator n.e.c.,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81700,Wood processing/Papermaking plant operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81810,Glass/Ceramics plant operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81821,Boiler fireman,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81822,Ship’s oiler/greaser,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81829,Steam engine/boiler operator n.e.c.,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81830,Packing/Bottling/Labelling machine operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81841,Printing machine operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81842,Bookbinding machine operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81849,Printing/Binding and related machine operator n.e.c.,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
81890,Stationary plant/machine operator n.e.c.,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
82000,Supervisor/General foreman of assemblers/quality checkers,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
82110,Mechanical equipment/component assembler,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
82121,Electrical equipment/component assembler,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
82122,Electronic equipment/component assembler,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
82123,Battery assembler,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
82131,Electrical/Electronic products quality checker/tester,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
82132,Mechanical products quality checker/tester,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
82139,Quality checker/tester n.e.c.,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
82190,Assembler n.e.c.,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83000,Mobile machinery supervisor/general foreman,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83110,Train operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83120,Railway braker and related worker,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83211,Motorcycle delivery worker,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83212,Delivery worker using motorised personal mobility aids/devices,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83221,Taxi driver,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83222,Chauffeur,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83223,Van driver,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83224,Ambulance driver,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83225,Parking valet,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83226,Private-hire car driver,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83229,Car/Taxi/Van/Light goods vehicle driver n.e.c.,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83311,Bus driver,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83312,Tram driver,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83321,Lorry driver,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83322,Trailer-truck driver,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83323,Concrete mix truck driver,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83324,Waste truck driver,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83329,Heavy truck/Lorry driver n.e.c.,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83421,Excavating/Trench digging machine operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83422,Dredge operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83423,Pile driver/drilling machine operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83424,Tunnelling machine operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83429,Earth moving and related machinery operator n.e.c.,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83431,Crane/Hoist operator (excluding port),8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83432,Crane operator (on-site),8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83439,Crane/Hoist and related equipment operator n.e.c.,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83441,Fork lift truck operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83449,Lifting truck operator n.e.c.,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83491,Motorised sweeper operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83492,Airport mobile equipment operator,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83499,Other mobile machinery operator n.e.c.,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83501,Port limit helmsman/steersman/engine driver/tugmaster,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83502,Deckhand,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
83509,Ship’s deck crew and related worker n.e.c.,8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS
91000,Cleaning supervisor,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
91121,Housekeeping/Linen room attendant,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
91122,Hotel cleaner,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
91129,Cleaner/Helper in hotel and related establishment n.e.c.,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
91131,Office/Commercial/Industrial establishment indoor cleaner,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
91132,Office/Commercial/Industrial establishment outdoor cleaner,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
91133,Office/Commercial/Industrial establishment multi-skilled cleaner cum machine operator,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
91151,Food and beverage establishment general cleaner,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
91152,Table-top cleaner,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
91153,Dishwasher,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
91154,Food and beverage establishment multi-skilled cleaner cum machine operator,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
91161,Residential/Open areas general cleaner,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
91162,Residential/Open areas multi-skilled cleaner cum machine operator,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
91210,Hand launderer/presser (non-household),9,"CLEANERS, LABOURERS AND RELATED WORKERS"
91220,Motor vehicle cleaner/polisher,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
91230,Window cleaner,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
91291,Ship/Ship tank cleaner,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
91292,Aircraft cleaner,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
91293,Railway carriage cleaner,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
91299,Other cleaning worker n.e.c.,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
91300,Domestic helper/cleaner,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
92141,Tree worker/technician,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
92142,Landscape worker,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
92149,Park/Garden/Landscape maintenance worker n.e.c.,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
92190,Agricultural/Fishery and related labourer n.e.c.,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
93100,Civil engineering/Building construction labourer,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
93201,Hand packer,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
93209,Manufacturing labourer and related worker n.e.c.,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
93310,Hand/Pedal vehicle driver,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
93331,Stevedore,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
93332,Railway/Road vehicle loader,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
93333,Aircraft loader,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
93334,Warehouse worker,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
93335,Vehicle attendant,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
93336,Mover,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
93337,Lashing worker,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
93339,Material/Freight handling worker n.e.c.,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
94101,Kitchen assistant,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
94102,Food/Drink stall assistant,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
94103,Fast food preparer,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
94104,"Tea server/steward (excluding bartender, barista and food/drink stall assistant)",9,"CLEANERS, LABOURERS AND RELATED WORKERS"
96000,Waste collection/recycling/material recovery supervisor,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
96101,General waste collection/recycling/material recovery worker,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
96102,Waste recycling sorter,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
96109,Waste collection/recycling/material recovery worker n.e.c.,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
96211,Bell captain,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
96212,Bellboy/Hotel porter,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
96213,Porter (excluding hotel),9,"CLEANERS, LABOURERS AND RELATED WORKERS"
96251,Office/Library attendant,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
96252,Laboratory attendant,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
96253,Hospital/Clinic attendant,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
96254,Car park attendant,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
96255,Sports/Recreational attendant,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
96256,Bus attendant,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
96257,Restroom attendant,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
96259,Attendant n.e.c.,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
96261,Building caretaker,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
96262,Doorman,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
96269,Building caretaker and related worker n.e.c.,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
96271,Chief concierge (hotel),9,"CLEANERS, LABOURERS AND RELATED WORKERS"
96272,Concierge (hotel),9,"CLEANERS, LABOURERS AND RELATED WORKERS"
96291,Leaflet/Newspaper distributor/deliverer,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
96292,Meter reader/Vending-machine collector,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
96293,Odd job person,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
96299,Other elementary worker n.e.c.,9,"CLEANERS, LABOURERS AND RELATED WORKERS"
